race,driver,quali_pos
Autódromo José Carlos Pace,Lando Norris,6
Autódromo José Carlos Pace,Pierre Gasly,10
Autódromo José Carlos Pace,Mick Schumacher,12
Autódromo José Carlos Pace,Kevin Magnussen,8
Autódromo José Carlos Pace,Esteban Ocon,16
Autódromo José Carlos Pace,Fernando Alonso,17
Autódromo José Carlos Pace,Max Verstappen,3
Autódromo José Carlos Pace,Sergio Pérez,4
Autódromo José Carlos Pace,Yuki Tsunoda,0
Autódromo José Carlos Pace,Nicholas Latifi,18
Autódromo José Carlos Pace,Daniel Ricciardo,11
Autódromo José Carlos Pace,Lance Stroll,15
Autódromo José Carlos Pace,George Russell,1
Autódromo José Carlos Pace,Lewis Hamilton,2
Autódromo José Carlos Pace,Charles Leclerc,5
Autódromo José Carlos Pace,Carlos Sainz,7
Autódromo José Carlos Pace,Alexander Albon,19
Autódromo José Carlos Pace,Guanyu Zhou,13
Autódromo José Carlos Pace,Valtteri Bottas,14
Autódromo José Carlos Pace,Sebastian Vettel,9
